libxpm4	1:3.5.12-1ubuntu0.22.04.2	install ok installed
libxshmfence1	1.3-1build4	install ok installed
libxxf86vm1	1:1.1.4-1build3	install ok installed
libxxhash0	0.8.1-1	install ok installed
libzstd1	1.4.8+dfsg-3build1	install ok installed
linux-libc-dev	5.15.0-179.189	install ok installed
login	1:4.8.1-2ubuntu2.2	install ok installed
logsave	1.46.5-2ubuntu1.2	install ok installed
lsb-base	11.1.0ubuntu4	install ok installed
lsb-release	11.1.0ubuntu4	install ok installed
lto-disabled-list	24	install ok installed
make	4.3-4.1build1	install ok installed
manpages	5.10-1ubuntu1	install ok installed
manpages-dev	5.10-1ubuntu1	install ok installed
mawk	1.3.4.20200120-3	install ok installed
media-types	7.0.0	install ok installed
mihomo	1.19.27	install ok installed
mount	2.37.2-4ubuntu3.5	install ok installed
nano	6.2-1ubuntu0.2	install ok installed
ncurses-base	6.3-2ubuntu0.1	install ok installed
ncurses-bin	6.3-2ubuntu0.1	install ok installed
ncurses-term	6.3-2ubuntu0.1	install ok installed
netbase	6.3	install ok installed
networkd-dispatcher	2.1-2ubuntu0.22.04.2	install ok installed
openssh-client	1:8.9p1-3ubuntu0.15	install ok installed
openssh-server	1:8.9p1-3ubuntu0.15	install ok installed
openssh-sftp-server	1:8.9p1-3ubuntu0.15	install ok installed
openssl	3.0.2-0ubuntu1.23	install ok installed
passwd	1:4.8.1-2ubuntu2.2	install ok installed
patch	2.7.6-7build2	install ok installed
perl	5.34.0-3ubuntu1.5	install ok installed
perl-base	5.34.0-3ubuntu1.5	install ok installed
perl-modules-5.34	5.34.0-3ubuntu1.5	install ok installed
pinentry-curses	1.1.1-1build2	install ok installed
procps	2:3.3.17-6ubuntu2.1	install ok installed
publicsuffix	20211207.1025-1	install ok installed
python3	3.10.6-1~22.04.1	install ok installed
python3-dbus	1.2.18-3build1	install ok installed
python3-dev	3.10.6-1~22.04.1	install ok installed
python3-distro	1.7.0-1	install ok installed
python3-distutils	3.10.8-1~22.04	install ok installed
python3-gi	3.42.1-0ubuntu1	install ok installed
python3-lib2to3	3.10.8-1~22.04	install ok installed
python3-minimal	3.10.6-1~22.04.1	install ok installed
python3-pip	22.0.2+dfsg-1ubuntu0.7	install ok installed
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3	install ok installed
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3	install ok installed
python3-wheel	0.37.1-2ubuntu0.22.04.1	install ok installed
python3.10	3.10.12-1~22.04.15	install ok installed
python3.10-dev	3.10.12-1~22.04.15	install ok installed
python3.10-minimal	3.10.12-1~22.04.15	install ok installed
readline-common	8.1.2-1	install ok installed
rpcsvc-proto	1.4.2-0ubuntu6	install ok installed
sed	4.8-1ubuntu2.1	install ok installed
sensible-utils	0.0.17	install ok installed
shared-mime-info	2.1-2	install ok installed
ssh-import-id	5.11-0ubuntu1	install ok installed
